Code,Description
5699,Miscellaneous Apparel and Accessory Shops
5499,Miscellaneous Food Stores – Convenience Stores and Specialty Markets
5399,Miscellaneous General Merchandise
5719,Miscellaneous Home Furnishing Specialty Stores
5271,Mobile Home Dealers
5733,Music Stores - Musical Instruments, Pianos, and Sheet Music
5994,News Dealers and Newsstands
5261,Nurseries and Lawn and Garden Supply Stores
5976,Orthopedic Goods – Prosthetic Devices
5995,Pet Shops, Pet Foods and Supplies Stores
5735,Record Stores
5973,Religious Goods Stores
5949,Sewing, Needlework, Fabric and Piece Goods Stores
5661,Shoe Stores
5941,Sporting Goods Stores
5655,Sports and Riding Apparel Stores
5972,Stamp and Coin Stores
5943,Stationery Stores, Office and School Supply Stores
5996,Swimming Pools – Sales and Service
5697,Tailors, Seamstresses, Mending, and Alterations
5998,Tent and Awning Shops
5978,Typewriter Stores – Sales, Rentals, and Service
5931,Used Merchandise and Secondhand Stores
5331,Variety Stores
5300,Wholesale Clubs
5698,Wig and Toupee Stores
5631,Women’s Accessory and Specialty Shops
5621,Women’s Ready-To-Wear Stores
5935,Wrecking and Salvage Yards Transportation
4582,Airports, Flying Fields, and Airport Terminals
4119,Ambulance Services
4457,Boat Rentals and Leasing
4131,Bus Lines
4215,Courier Services – Air and Ground, and Freight Forwarders
4111,Local and Suburban Commuter Passenger Transportation
4468,Marinas, Marine Service, and Supplies
4214,Motor Freight Carriers and Trucking – Local and Long Distance, Moving and Storage Companies, and Local Delivery Services
4112,Passenger Railways
4225,Public Warehousing and Storage – Farm Products, Refrigerated Goods, Household Goods, and Storage
4011,Railroads - Freight
4121,Taxicabs and Limousines
4784,Tolls and Bridge Fees
4789,Transportation Services (Not Elsewhere Classified)Utilities
4899,Cable, Satellite, and Other Pay Television / Radio Services
4816,Computer Network / Information Services
4812,Telecommunication Equipment and Telephone Sales
4821,Telegraph Services
4900,Utilities – Electric, Gas, Water, and Sanitary
